crime_type ,district ,beat_number ,map_reference ,phxcommunity ,domestic
71,3 ,112 ,083 ,1 ,0
71,3 ,115 ,006 ,0 ,0
70 ,3 ,112 ,003 ,0 ,0
70 ,1 ,114 ,065 ,1 ,0
70 ,2 ,117 ,068 ,0 ,0
70 ,3 ,118 ,004 ,1 ,0
70 ,2 ,119 ,076 ,0 ,0
70 ,2 ,119 ,076 ,0 ,0
70 ,1 ,120 ,057 ,0 ,0
70 ,1 ,120 ,061 ,0 ,0
70 ,2 ,121 ,017 ,0 ,0
97 ,1 ,114 ,065 ,1 ,0
97 ,3 ,115 ,039 ,1 ,0
97 ,2 ,119 ,076 ,0 ,0
14 ,1 ,111 ,021 ,0 ,0
14 ,1 ,111 ,021 ,1 ,1
14 ,3 ,112 ,027 ,0 ,0
14 ,3 ,112 ,083 ,1 ,0
14 ,3 ,115 ,006 ,0 ,1
14 ,3 ,115 ,039 ,1 ,0
14 ,3 ,115 ,039 ,1 ,0
14 ,3 ,115 ,044 ,0 ,0
14 ,3 ,116 ,051 ,0 ,0
14 ,1 ,120 ,125 ,0 ,0
13 ,1 ,111 ,029 ,0 ,0
13 ,1 ,111 ,087 ,0 ,0
13 ,3 ,112 ,003 ,0 ,0
13 ,3 ,112 ,028 ,0 ,0
13 ,3 ,112 ,083 ,0 ,0
13 ,3 ,112 ,083 ,1 ,0
13 ,3 ,112 ,083 ,0 ,0
13 ,1 ,113 ,031 ,0 ,0
13 ,1 ,113 ,031 ,1 ,1
13 ,1 ,113 ,031 ,0 ,0
13 ,1 ,113 ,032 ,0 ,0
13 ,1 ,113 ,034 ,0 ,0
13 ,1 ,113 ,060 ,0 ,0
13 ,1 ,114 ,026 ,0 ,0
13 ,1 ,114 ,026 ,0 ,0
13 ,1 ,114 ,065 ,0 ,0
13 ,3 ,115 ,005 ,0 ,0
13 ,3 ,115 ,039 ,1 ,0
13 ,3 ,115 ,039 ,1 ,0
13 ,3 ,115 ,039 ,1 ,0
13 ,3 ,115 ,040 ,0 ,0
13 ,3 ,115 ,040 ,0 ,0
13 ,3 ,115 ,040 ,0 ,0
13 ,3 ,115 ,044 ,0 ,0
13 ,3 ,115 ,044 ,0 ,0
13 ,3 ,115 ,044 ,0 ,0
13 ,3 ,116 ,053 ,0 ,0
13 ,3 ,116 ,053 ,0 ,0
13 ,2 ,117 ,018 ,0 ,0
13 ,3 ,118 ,004 ,0 ,0
13 ,3 ,118 ,045 ,0 ,1
13 ,3 ,118 ,045 ,0 ,0
13 ,3 ,118 ,047 ,0 ,0
13 ,3 ,118 ,120 ,0 ,0
13 ,3 ,118 ,120 ,0 ,0
13 ,2 ,119 ,124 ,0 ,0
13 ,1 ,120 ,056 ,0 ,0
13 ,1 ,120 ,061 ,0 ,0
13 ,1 ,120 ,061 ,0 ,0
13 ,1 ,120 ,061 ,0 ,0
13 ,2 ,121 ,069 ,0 ,0
13 ,2 ,122 ,015 ,0 ,0
13 ,2 ,122 ,077 ,1 ,0
13 ,2 ,122 ,122 ,0 ,0
12 ,1 ,111 ,080 ,0 ,0
12 ,3 ,115 ,039 ,1 ,0
12 ,3 ,115 ,039 ,1 ,1
12 ,3 ,115 ,040 ,0 ,0
12 ,3 ,116 ,041 ,0 ,0
12 ,3 ,118 ,004 ,1 ,0
12 ,2 ,119 ,016 ,0 ,0
12 ,2 ,119 ,076 ,0 ,0
12 ,2 ,119 ,082 ,0 ,0
12 ,2 ,119 ,082 ,0 ,1
12 ,2 ,121 ,073 ,0 ,1
11 ,3 ,116 ,052 ,0 ,0
10 ,3 ,112 ,083 ,0 ,1
10 ,3 ,112 ,083 ,0 ,1
10 ,3 ,112 ,083 ,0 ,1
10 ,2 ,117 ,066 ,0 ,0
10 ,2 ,117 ,068 ,0 ,1
10 ,3 ,118 ,004 ,1 ,0
10 ,3 ,118 ,045 ,0 ,0
10 ,3 ,118 ,045 ,0 ,1
10 ,2 ,119 ,074 ,1 ,1
1 ,1 ,111 ,022 ,1 ,0
1 ,1 ,111 ,024 ,1 ,1
1 ,1 ,111 ,024 ,0 ,1
1 ,1 ,111 ,025 ,1 ,1
1 ,3 ,112 ,027 ,0 ,0
1 ,3 ,112 ,027 ,0 ,0
1 ,3 ,112 ,028 ,0 ,1
1 ,3 ,112 ,083 ,1 ,1
1 ,3 ,112 ,083 ,0 ,0
1 ,3 ,112 ,083 ,0 ,0
1 ,3 ,112 ,083 ,1 ,1
1 ,3 ,112 ,083 ,0 ,0
1 ,3 ,112 ,083 ,0 ,0
1 ,3 ,112 ,083 ,0 ,1
1 ,3 ,112 ,083 ,0 ,0
1 ,3 ,112 ,083 ,0 ,0
1 ,1 ,113 ,030 ,1 ,1
1 ,1 ,113 ,030 ,1 ,0
1 ,1 ,114 ,026 ,1 ,1
1 ,1 ,114 ,036 ,0 ,0
1 ,1 ,114 ,036 ,1 ,1
1 ,1 ,114 ,036 ,0 ,1
1 ,3 ,115 ,037 ,0 ,1
5 ,1 ,111 ,029 ,0 ,0
5 ,3 ,112 ,027 ,0 ,0
5 ,3 ,112 ,083 ,0 ,0
5 ,3 ,112 ,083 ,1 ,0
5 ,3 ,112 ,083 ,1 ,0
5 ,1 ,113 ,030 ,1 ,0
5 ,1 ,113 ,031 ,0 ,0
5 ,1 ,113 ,031 ,1 ,0
5 ,1 ,113 ,032 ,0 ,0
5 ,1 ,113 ,033 ,0 ,0
5 ,1 ,113 ,034 ,0 ,0
5 ,1 ,113 ,034 ,0 ,0
5 ,1 ,113 ,034 ,0 ,0
5 ,1 ,114 ,036 ,1 ,0
5 ,3 ,115 ,005 ,0 ,0
5 ,3 ,115 ,005 ,0 ,0
5 ,3 ,115 ,006 ,0 ,0
5 ,3 ,115 ,038 ,0 ,0
5 ,3 ,115 ,040 ,0 ,0
5 ,3 ,115 ,040 ,0 ,0
5 ,3 ,115 ,040 ,0 ,0
5 ,3 ,115 ,040 ,0 ,0
5 ,3 ,115 ,042 ,0 ,0
5 ,3 ,115 ,042 ,0 ,0
5 ,3 ,116 ,049 ,0 ,0
5 ,3 ,116 ,053 ,0 ,0
5 ,3 ,116 ,053 ,0 ,0
5 ,3 ,116 ,053 ,0 ,0
5 ,3 ,116 ,053 ,0 ,0
5 ,3 ,116 ,053 ,0 ,0
5 ,3 ,116 ,054 ,0 ,0
5 ,2 ,117 ,064 ,0 ,0
5 ,2 ,117 ,066 ,0 ,0
5 ,2 ,117 ,066 ,0 ,0
5 ,2 ,117 ,071 ,0 ,0
5 ,2 ,117 ,071 ,0 ,0
5 ,2 ,117 ,071 ,0 ,0
5 ,3 ,118 ,004 ,0 ,0
5 ,3 ,118 ,004 ,1 ,0
5 ,3 ,118 ,004 ,1 ,0
5 ,3 ,118 ,045 ,1 ,0
5 ,3 ,118 ,045 ,0 ,0
5 ,3 ,118 ,045 ,0 ,0
5 ,3 ,118 ,046 ,0 ,0
5 ,3 ,118 ,047 ,0 ,0
5 ,3 ,118 ,120 ,0 ,0
5 ,3 ,118 ,120 ,0 ,0
5 ,2 ,119 ,074 ,1 ,0
5 ,1 ,120 ,002 ,0 ,0
5 ,1 ,120 ,056 ,0 ,0
5 ,1 ,120 ,059 ,0 ,0
5 ,1 ,120 ,062 ,0 ,0
5 ,1 ,120 ,062 ,0 ,0
5 ,1 ,120 ,062 ,0 ,0
5 ,1 ,120 ,125 ,0 ,0
5 ,1 ,120 ,125 ,0 ,0
5 ,2 ,121 ,017 ,0 ,0
5 ,2 ,121 ,017 ,0 ,0
5 ,2 ,121 ,069 ,0 ,0
5 ,2 ,121 ,069 ,0 ,0
5 ,2 ,121 ,070 ,0 ,0
5 ,2 ,121 ,073 ,0 ,0
5 ,2 ,121 ,073 ,0 ,0
5 ,2 ,121 ,073 ,0 ,0
5 ,2 ,121 ,073 ,0 ,0
5 ,2 ,121 ,078 ,1 ,0
5 ,2 ,121 ,079 ,0 ,0
